iter	Logloss	Accuracy
398	0.3942195395	0.8271994342
399	0.3942003397	0.8271895499
400	0.3941880268	0.8272038272
401	0.3941005872	0.8272137114
402	0.3940817558	0.8272499536
403	0.3940585826	0.8272499536
404	0.3940415988	0.8272850975
405	0.39401404	0.8273147502
406	0.393996085	0.827313652
407	0.3939792593	0.8272861958
408	0.3939108645	0.8272850975
409	0.3938989831	0.8272785081
410	0.3938798331	0.827304866
411	0.3938541231	0.8273334205
412	0.3938473554	0.82734001
413	0.3938209214	0.8273334205
414	0.3938055114	0.8273487959
415	0.3937950991	0.82734001
416	0.3937810538	0.8273542872
417	0.3937446247	0.8273883329
418	0.3937225059	0.8273806451
419	0.3936894197	0.8273806451
420	0.3936683981	0.8273861364
421	0.3936531628	0.8274037083
422	0.3936251463	0.8273773504
423	0.3936082485	0.8273938241
424	0.3935901357	0.8273883329
425	0.3935713475	0.8274168873
426	0.3935428172	0.8274212803
427	0.3934187206	0.8274750945
428	0.3934014288	0.82749047
429	0.3933722111	0.8274926664
430	0.393360778	0.8275168279
431	0.3933409558	0.8275354981
432	0.3933148324	0.8275245156
433	0.3933041548	0.8275453824
434	0.3932802775	0.8275420876
435	0.3932576336	0.8275662491
436	0.3932197003	0.8275728386
437	0.3932031643	0.827583821
438	0.3931797471	0.827605786
439	0.393158208	0.8276530107
440	0.3931401593	0.8276617967
441	0.3931289167	0.8276749756
442	0.3931180789	0.8276672879
443	0.3930835526	0.8276793686
444	0.3930626759	0.8276903511
445	0.3930477953	0.8277035301
446	0.393023376	0.8277309863
447	0.393011464	0.8276925476
448	0.3929876163	0.8277243968
449	0.3929730531	0.8277276916
450	0.3929593547	0.8277375758
451	0.392936721	0.8277298881
452	0.3929217503	0.827751853
453	0.3928997217	0.8277584425
454	0.3928793237	0.827773818
455	0.3928529524	0.8278111584
456	0.3928259114	0.8278287304
457	0.3928080002	0.8278408111
458	0.3927933291	0.8278364181
459	0.392774451	0.8278430076
460	0.3927572037	0.8278474006
461	0.3927432623	0.8278836428
462	0.3927282867	0.8278704638
463	0.3927038033	0.8278737586
464	0.3926893792	0.827893527
465	0.3926508032	0.8278880358
466	0.3926383952	0.8278990183
467	0.3926270519	0.827902313
468	0.3926150928	0.827906706
469	0.3925729051	0.8279506359
470	0.3925570087	0.8279484394
471	0.3925441319	0.8279726009
472	0.392527694	0.8279758956
473	0.3925140047	0.8279780921
474	0.3924956548	0.8279780921
475	0.3923998893	0.8279506359
476	0.3923675878	0.8280143343
477	0.3923504302	0.8280472818
478	0.3923333288	0.8280450853
479	0.3923208843	0.8280593625
480	0.3923050453	0.828065952
481	0.39228796	0.8281219627
482	0.3922698019	0.8281241592
483	0.3922428108	0.8281318469
484	0.3922303899	0.8281164714
485	0.3922149571	0.8281428294
486	0.3921605334	0.8281285521
487	0.3921381805	0.8281351416
488	0.3921170491	0.8281164714
489	0.3921063134	0.8281230609
490	0.3920842616	0.8281483206
491	0.3920428375	0.8282010365
492	0.3920230357	0.8281977418
493	0.3920015971	0.8282240997
494	0.3919802742	0.8282416717
495	0.3919548545	0.8282273945
496	0.3919219955	0.8282405735
497	0.3919081952	0.8282372787
498	0.3918938465	0.8282592437
499	0.3918736082	0.8282866999
500	0.3918623613	0.8282998789
501	0.3918465765	0.8283152543
502	0.3918263594	0.8283591843
503	0.3917992457	0.8284075072
504	0.3917649601	0.8284119002
505	0.3917468924	0.8284349634
506	0.3917324429	0.8283954265
507	0.3917183776	0.8283811492
508	0.3916937972	0.8284020159
509	0.3916558612	0.8283899352
510	0.3916402487	0.8284009177
511	0.3916155407	0.8284459459
512	0.3916029533	0.8284426511
513	0.391579256	0.8284360616
514	0.3915511459	0.8284426511
515	0.3915346155	0.8285030548
516	0.3915205198	0.8284986618
517	0.3914597457	0.8285381987
518	0.3914387093	0.8285568689
519	0.3914085328	0.8285931111
520	0.391395205	0.8285766374
521	0.391354717	0.8286205673
522	0.3913407766	0.8286249603
523	0.3913215625	0.8286743815
524	0.3913016326	0.8287018377
525	0.3912700277	0.8287128202
526	0.3912593894	0.8287205079
527	0.3912428191	0.8287238027
528	0.3912132098	0.8287292939
529	0.3911975862	0.8287578484
530	0.3910598787	0.8288468065
531	0.3910455699	0.8288786557
532	0.3910255945	0.8288929329
533	0.3910171774	0.8288907364
534	0.3909994269	0.8288577889
535	0.3909821149	0.8288841469
536	0.3909642772	0.8288863434
537	0.390945209	0.8288819504
538	0.3909295819	0.8288929329
539	0.390908669	0.8289017189
540	0.3908930911	0.8289028171
541	0.390870216	0.8289214873
542	0.3908548351	0.8289280768
543	0.3908462331	0.8289247821
544	0.3908320146	0.8289445505
545	0.3908187073	0.8289698103
546	0.3907660569	0.8289972665
547	0.3907504931	0.8290236244
548	0.3907286406	0.8290411964
549	0.3907155767	0.8290565719
550	0.3906944781	0.8290620631
551	0.3906768052	0.8290807333
552	0.3906558455	0.8290950105
553	0.3906451836	0.8291048948
554	0.3905600737	0.8291718879
555	0.3905411049	0.8291718879
556	0.3905306787	0.8291828704
557	0.3905053819	0.8291993441
558	0.3904884487	0.8292070319
559	0.390474326	0.8292322916
560	0.3904531932	0.8292586495
561	0.3904321845	0.8292586495
562	0.3904059274	0.8292707303
563	0.3903882716	0.829300383
564	0.3903531473	0.8293245444
565	0.3903393625	0.8293289374
566	0.390325008	0.8293322322
567	0.3903054925	0.8293629831
568	0.3902749913	0.8293783586
569	0.390252379	0.8293926358
570	0.3902393299	0.8293904393
571	0.3901993875	0.8294563342
572	0.3901778113	0.8294936746
573	0.3901581845	0.8294772009
574	0.3901401792	0.8294848887
575	0.390121523	0.8294409587
576	0.390102444	0.8294409587
577	0.3900823463	0.8294091095
578	0.3900651928	0.829406913
579	0.3900494022	0.8294453517
580	0.3900319774	0.8294651202
581	0.3900135285	0.8294892816
582	0.3899992758	0.8294826922
583	0.3899711253	0.8294936746
584	0.3899321333	0.8295090501
585	0.3898988111	0.829561766
586	0.3898794076	0.8295914187
587	0.3898617148	0.8295870257
588	0.3898432206	0.8296067942
589	0.3898290599	0.8295892222
590	0.3898098177	0.8295815345
591	0.3897881434	0.8296496259
592	0.3897582274	0.8296155802
593	0.3897413212	0.8296243662
594	0.3897060917	0.8296726891
595	0.389689924	0.8296957523
596	0.3896761128	0.8296803768
597	0.3896646897	0.8296924576
598	0.3896473035	0.8297155208
599	0.3896333575	0.8297199138
600	0.3896208666	0.829756156
601	0.3896004671	0.8297715314
602	0.3895885818	0.8297770227
603	0.389574373	0.8297836122
604	0.3895515798	0.8297748262
605	0.3895400402	0.8297836122
606	0.3893984707	0.8298374263
607	0.3893887353	0.829871472
608	0.3893632972	0.8298681773
609	0.3893542323	0.829858293
610	0.3893362667	0.829871472
611	0.3893197426	0.8298451141
612	0.3893078856	0.8298615878
613	0.3892500163	0.8298769633
614	0.3892337837	0.8299110089
615	0.389216656	0.8299077142
616	0.3892008806	0.8299110089
617	0.3891871083	0.8298912405
618	0.3891668515	0.8299132054
619	0.3891424314	0.8299263844
620	0.389129649	0.8299604301
621	0.3891101558	0.8299329739
622	0.3890876527	0.8299615284
623	0.3890742636	0.8299681179
624	0.3890344287	0.8299966723
625	0.3890062164	0.8299944758
626	0.3889928335	0.8300032618
627	0.3889739459	0.830035111
628	0.3889581595	0.8300318162
629	0.3889401343	0.830043897
630	0.388919297	0.8300625672
631	0.3889058379	0.830061469
632	0.3888832177	0.8300977111
633	0.3888190225	0.8300889252
634	0.3888046897	0.8300845322
635	0.3887646617	0.8300966129
636	0.3887573043	0.8301163814
637	0.3887448475	0.8301449358
638	0.3887268978	0.8301416411
639	0.3887132842	0.8301482306
640	0.3886989505	0.8301471323
641	0.3886830434	0.8301416411
642	0.3886730431	0.8301493288
643	0.3886570054	0.8302042412
644	0.3886442582	0.8302097325
645	0.3886172638	0.8301745885
646	0.3886043271	0.8301888657
647	0.388586932	0.830203143
648	0.3885717333	0.8302382869
649	0.3885517701	0.8302569571
650	0.3885401148	0.8302690379
651	0.3885275555	0.8302701361
652	0.388511911	0.8302569571
653	0.3884979923	0.8302855116
654	0.3884852009	0.8302767256
655	0.3884707874	0.8302690379
656	0.3884532161	0.8302997888
657	0.3884374399	0.8303118695
658	0.3884206422	0.8303118695
659	0.388408809	0.8303217538
660	0.3883643449	0.8303843539
661	0.3883554481	0.8303810592
662	0.3883418522	0.8303942382
663	0.3883247875	0.8303997294
664	0.3883112266	0.8304019259
665	0.3883008	0.8304205961
666	0.3882888011	0.8304271856
667	0.3882751318	0.8304271856
668	0.3882551054	0.8304337751
669	0.3882411213	0.8304491506
670	0.3882167389	0.8304700173
671	0.388201241	0.8305007682
672	0.3881895876	0.8304919822
673	0.3881721021	0.8305457964
674	0.3881581978	0.8305414034
675	0.3881425507	0.8305765473
676	0.388132432	0.8305688596
677	0.3881041152	0.830619379
678	0.3880977864	0.8306160843
679	0.3880805213	0.8305974141
680	0.3880646073	0.8305974141
681	0.3880171519	0.8306380492
682	0.3879971497	0.8306523265
683	0.3879792202	0.8306611125
684	0.3879561009	0.8307160249
685	0.3879429405	0.8307160249
686	0.3879133585	0.8307456776
687	0.3879065442	0.8307390881
688	0.3878940778	0.8307303021
689	0.3878845945	0.8307182214
690	0.3878734681	0.8307303021
691	0.3878582303	0.8307709373
692	0.3878360756	0.8307896075
693	0.3878185881	0.8308302427
694	0.3878006616	0.8308346357
695	0.3877780528	0.8308489129
696	0.3877630097	0.8308555024
697	0.3877484062	0.8308489129
698	0.3877379129	0.8308576989
699	0.3877196329	0.8308917446
700	0.387711255	0.8308983341
701	0.387697127	0.8309093165
702	0.3876897997	0.8309181025
703	0.3876750135	0.8309499517
704	0.3876465011	0.830942264
705	0.3876329737	0.8309488535
706	0.3876182722	0.8309675237
707	0.3875978011	0.8309664255
708	0.3875858832	0.8309916852
709	0.3874214812	0.8311091977
710	0.3873999153	0.8311674049
711	0.3873879875	0.8311772891
712	0.387375323	0.8311476364
713	0.3873555068	0.8311827803
714	0.3873393142	0.8312058436
715	0.3873306339	0.8312179243
716	0.3873156851	0.8312409875
717	0.3873025664	0.8312409875
718	0.3872857017	0.8312629525
719	0.3872705268	0.8312838192
720	0.3872523937	0.8312728367
721	0.3872304206	0.8312926052
722	0.3872114722	0.8312893104
723	0.3871983327	0.8312827209
724	0.3871874951	0.8312904087
725	0.3871145703	0.8313321421
726	0.3871008832	0.8313420263
727	0.387085151	0.8313552053
728	0.387070944	0.8313497141
729	0.3870593457	0.8313519106
730	0.3870424698	0.8313738755
731	0.3870283776	0.8313903493
732	0.387013282	0.8314254932
733	0.3869985738	0.8314298862
734	0.3869856783	0.8314265914
735	0.386969409	0.8314265914
736	0.3869601999	0.8314364757
737	0.3869471842	0.8314650301
738	0.3869365382	0.8314628336
739	0.3869230261	0.8314650301
740	0.3869016835	0.8314584406
741	0.3868902995	0.8314738161
742	0.3868796169	0.8314902898
743	0.3868649325	0.8314815039
744	0.3868469033	0.8315067636
745	0.3868319886	0.8315133531
746	0.3868173974	0.8315232373
747	0.3868076259	0.8315188443
748	0.3867901214	0.8315254338
749	0.3867792577	0.831535318
750	0.3867608617	0.8315254338
751	0.3867460929	0.8315506935
752	0.3867336805	0.8315495952
753	0.3867225839	0.8315748549
754	0.3867111042	0.8315561847
755	0.3867018185	0.831561676
756	0.3866781334	0.8315825427
757	0.386663442	0.8315935252
758	0.3866266504	0.8316143919
759	0.3866108521	0.8316176866
760	0.3865988605	0.8316231779
761	0.3865792261	0.8316078024
762	0.3865639482	0.8316056059
763	0.3865582302	0.8316067041
764	0.3865408689	0.8316396516
765	0.3865310179	0.8316517323
766	0.3865134116	0.8316539288
767	0.386493194	0.8316715008
768	0.3864781654	0.8316835815
769	0.3864615656	0.8316934658
770	0.3864405504	0.8316835815
771	0.3864309366	0.8316846798
772	0.3864101343	0.831725315
773	0.3863899829	0.8317428869
774	0.3863798078	0.8317461817
775	0.3863639911	0.8317637536
776	0.3863560723	0.8317483782
777	0.3863312093	0.8317604589
778	0.3863197404	0.8317758344
779	0.3863050112	0.8317549677
780	0.3862853854	0.8317560659
781	0.3862652025	0.8317934063
782	0.3862508298	0.8318109783
783	0.38624431	0.8318021923
784	0.3862302923	0.8318175678
785	0.3862185607	0.8318043888
786	0.3861754123	0.8318175678
787	0.3861666802	0.8318384345
788	0.3861556985	0.8318428275
789	0.3861466472	0.8318340415
790	0.3861310324	0.8318571047
791	0.3861257282	0.8318560065
792	0.3861058253	0.8318549082
793	0.3860910932	0.8318428275
794	0.3860792272	0.8318691855
795	0.3860651684	0.831871382
796	0.3860533282	0.8319010347
